-6768,7120,14728,1400,151,406
-6700,7044,14212,837,-489,-309
-5656,7000,14088,847,-772,-243
-5316,7096,14348,990,-615,170
-5540,7192,14620,259,-332,261
-6092,7080,14156,-85,462,267
-5396,6996,14016,-114,148,256
-5060,7024,14048,106,856,828
-7148,6868,13824,-450,1113,493
-7092,6532,13972,-192,-368,-129
-5772,6904,13836,-125,-383,-314
-5900,6804,13688,-26,551,-239
-6120,7088,13916,205,519,-446
-5264,7372,14812,184,473,-202
-5356,7352,14656,-14,735,262
-5548,7040,14328,67,158,718
-6220,6956,13948,238,449,1001
-7292,6620,13184,697,-46,532
-6300,6828,13744,1252,-666,279
-6348,7152,14828,483,-113,58
-6872,6972,14544,-1,221,-507
-5720,7180,14392,59,157,-514
-5504,7216,14908,43,384,-156
-5968,7228,14972,-301,522,185
-5452,7176,13776,-222,-140,490
-4928,7092,13452,294,-330,1120
-6188,7188,13644,304,565,1040
-6668,6772,13880,27,111,422
-5816,6956,14192,76,284,388
-6544,6836,13648,23,962,246
-6960,6904,13932,536,-55,-140
-6264,7324,14908,555,-306,-127
-6180,7664,15252,-175,38,-115
-6420,7320,14296,-623,-68,-461
-5880,7280,14324,-478,-173,-396
-5420,7148,14332,-373,-71,-32
-6228,7000,13508,-250,9,-9
-5720,6876,13408,256,-662,89
-5808,7076,13876,174,-343,94
-5988,7068,14028,-235,133,-43
-5832,6916,13632,29,286,37
-6064,7100,14368,91,189,-13
-6268,7080,14584,-280,333,-115
-5972,7144,14380,-319,-225,-183
-5160,7280,14324,-415,-263,15
-5304,7196,14408,-679,491,302
-5584,7008,14004,-819,965,444
-5560,7048,13580,-537,820,536
-5964,6944,13304,-101,693,538
-5776,7036,13888,340,87,703
-5592,7252,14756,157,-48,927
-6040,7092,14224,24,368,879
-6484,6952,13956,-202,374,495
-6184,7140,14376,-209,-29,230
-5600,7132,14916,-583,315,350
-5696,6932,14164,-550,614,646
-5288,7092,13872,-261,419,987
-5036,7104,13932,241,1032,1627
-6216,6908,13520,374,1388,1671
-6428,6792,13336,755,651,1535
-6176,6912,13732,1150,410,1607
-6588,7180,14476,764,187,1275
-6864,7296,14632,-68,218,611
-6336,7264,14524,-471,483,311
-6372,7360,14724,-734,857,204
-6292,7144,14248,-654,555,322
-6624,7056,14200,-557,384,490
-7208,7020,14112,-433,33,272
-6824,7056,13804,-232,-520,-30
-6068,7120,14028,-187,-471,-93
-5880,7224,14012,12,-424,55
-5592,7416,14288,-167,-340,195
-5744,7312,14320,-269,111,496
-6720,7108,14284,-470,311,274
-6516,6996,13828,-448,-603,-43
-5752,6968,14128,-432,-783,-111
-6112,6968,14136,-431,-226,-239
-5672,7120,14164,-449,-201,-355
-5732,7104,13644,-458,430,-487
-5104,7188,13844,-4,-331,-260
-4888,7316,14524,-16,-107,240
-5380,7196,14392,-98,-2,619
-5988,7220,14496,-359,-73,668
-6644,6948,14412,-425,79,288
-6208,6932,14604,-450,-444,61
-6052,6984,14656,-650,-109,-118
-6340,6972,14332,-883,-73,-529
-5548,6936,14084,-810,-109,-630
-5280,7000,13900,-750,253,-505
-5120,6996,13784,-409,-20,-258
-5044,7040,13988,-233,-48,66
-5072,7100,14420,-128,-100,498
-5096,7100,14568,-107,177,865
-5440,6992,14052,-170,346,1006
-6076,6904,14284,-195,419,922
-5880,7088,14680,-461,35,560
-5260,7292,14884,-1124,398,367
-5488,6992,14576,-1501,885,332
-6088,7040,14048,-1732,1550,42
-5444,7036,14460,-1665,549,115
-5284,7216,15392,-1974,259,526
-5340,7304,16120,-2572,-167,976
-4980,7396,15644,-3066,242,1480
-4532,7244,15216,-3319,390,2016
-3832,7100,14972,-3078,1350,3078
-4576,6992,15168,-2475,1686,4133
-5680,7196,15788,-3204,1159,4497
-6140,7072,16008,-4072,594,4413
-5812,7288,17340,-5636,76,4357
-5744,7404,17712,-6951,1126,4515
-5432,7600,17628,-7858,1210,4764
-4928,7736,17804,-8490,1168,5171
-4320,7728,17732,-8686,608,5945
-4716,8124,20448,-10883,-537,6535
-5776,8220,22344,-14324,484,6744
-7500,8092,22524,-19144,792,6302
-8100,7064,19304,-22690,1675,5307
-8812,6044,15160,-23374,1920,4062
-9036,5068,13276,-22451,480,2268
-8244,4504,12932,-20536,-1778,707
-6872,4164,14584,-18797,-4084,-196
-5624,4268,16932,-18446,-5302,-311
-5024,4292,19996,-20632,-5342,-88
-4588,3628,19200,-22650,-3606,863
-5348,2372,15308,-23070,-1900,1345
-6680,856,11832,-21386,-2252,996
-7612,-532,9864,-17844,-3486,235
-7368,-1292,9496,-13806,-5729,-759
